"","Year","J.D"
"1",1880,-0.5
"2",1881,-0.47
"3",1882,-0.39
"4",1883,-0.41
"5",1884,-0.7
"6",1885,-0.57
"7",1886,-0.71
"8",1887,-0.76
"9",1888,-0.53
"10",1889,-0.27
"11",1890,-0.62
"12",1891,-0.64
"13",1892,-0.56
"14",1893,-0.6
"15",1894,-0.48
"16",1895,-0.39
"17",1896,-0.35
"18",1897,-0.25
"19",1898,-0.41
"20",1899,-0.33
"21",1900,-0.18
"22",1901,-0.18
"23",1902,-0.4
"24",1903,-0.46
"25",1904,-0.57
"26",1905,-0.39
"27",1906,-0.28
"28",1907,-0.57
"29",1908,-0.43
"30",1909,-0.44
"31",1910,-0.38
"32",1911,-0.4
"33",1912,-0.37
"34",1913,-0.37
"35",1914,-0.12
"36",1915,-0.11
"37",1916,-0.34
"38",1917,-0.55
"39",1918,-0.47
"40",1919,-0.23
"41",1920,-0.31
"42",1921,-0.2
"43",1922,-0.29
"44",1923,-0.31
"45",1924,-0.26
"46",1925,-0.29
"47",1926,-0.08
"48",1927,-0.22
"49",1928,-0.15
"50",1929,-0.38
"51",1930,-0.21
"52",1931,-0.12
"53",1932,-0.14
"54",1933,-0.27
"55",1934,-0.13
"56",1935,-0.25
"57",1936,-0.11
"58",1937,-0.02
"59",1938,0.04
"60",1939,-0.13
"61",1940,0.06
"62",1941,0.02
"63",1942,0.02
"64",1943,-0.03
"65",1944,0.03
"66",1945,-0.11
"67",1946,-0.1
"68",1947,0.02
"69",1948,-0.1
"70",1949,-0.13
"71",1950,-0.23
"72",1951,-0.07
"73",1952,-0.03
"74",1953,0.05
"75",1954,-0.14
"76",1955,-0.13
"77",1956,-0.24
"78",1957,0.02
"79",1958,0.07
"80",1959,0.05
"81",1960,-0.02
"82",1961,0.09
"83",1962,0.02
"84",1963,0.03
"85",1964,-0.24
"86",1965,-0.16
"87",1966,-0.06
"88",1967,-0.01
"89",1968,-0.09
"90",1969,0.02
"91",1970,0.07
"92",1971,-0.07
"93",1972,-0.02
"94",1973,0.22
"95",1974,-0.05
"96",1975,0.01
"97",1976,-0.18
"98",1977,0.2
"99",1978,0.13
"100",1979,0.19
"101",1980,0.33
"102",1981,0.42
"103",1982,0.12
"104",1983,0.38
"105",1984,0.2
"106",1985,0.18
"107",1986,0.24
"108",1987,0.39
"109",1988,0.5
"110",1989,0.37
"111",1990,0.52
"112",1991,0.51
"113",1992,0.22
"114",1993,0.26
"115",1994,0.37
"116",1995,0.55
"117",1996,0.47
"118",1997,0.53
"119",1998,0.81
"120",1999,0.57
"121",2000,0.56
"122",2001,0.65
"123",2002,0.78
"124",2003,0.77
"125",2004,0.67
"126",2005,0.86
"127",2006,0.76
"128",2007,0.84
"129",2008,0.63
"130",2009,0.77
"131",2010,0.91
"132",2011,0.77
"133",2012,0.75
"134",2013,0.8
"135",2014,0.87
"136",2015,0.97
"137",2016,1.22
